"","year","age","sex","mortClass","tier","service","hireYear","salary","fromData","premium","status"
"1",2016,32,"M","Safety","2",0,2016,34241.6977321112,FALSE,5999.5905847364,"active"
"2",2017,33,"M","Safety","2",1,2016,72983.4823671698,FALSE,12787.6548959989,"active"
"3",2018,34,"M","Safety","2",2,2016,76997.5738973642,FALSE,13490.9759152789,"active"
"4",2019,35,"M","Safety","2",3,2016,81232.4404617192,FALSE,14232.9795906192,"active"
"5",2020,36,"M","Safety","2",4,2016,85700.2246871137,FALSE,17285.7353193908,"active"
"6",2021,37,"M","Safety","2",5,2016,90413.737044905,FALSE,18182.2025197304,"active"
"7",2022,38,"M","Safety","2",6,2016,94934.4238971502,TRUE,19081.8192033272,"active"
"8",2023,39,"M","Safety","2",7,2016,99681.1450920077,FALSE,20035.9101634936,"active"
"9",2024,40,"M","Safety","2",8,2016,104665.202346608,FALSE,21037.7056716682,"active"
"10",2025,41,"M","Safety","2",9,2016,109375.136452206,FALSE,21984.4024268933,"active"
"11",2026,42,"M","Safety","2",10,2016,114297.017592555,FALSE,22973.7005361035,"active"
"12",2027,43,"M","Safety","2",11,2016,119440.38338422,FALSE,24007.5170602282,"active"
"13",2028,44,"M","Safety","2",12,2016,124217.998719589,FALSE,24967.8177426373,"active"
"14",2029,45,"M","Safety","2",13,2016,129186.718668372,FALSE,25966.5304523428,"active"
"15",2030,46,"M","Safety","2",14,2016,134354.187415107,FALSE,27005.1916704365,"active"
"16",2031,47,"M","Safety","2",15,2016,139392.469443173,FALSE,28017.8863580779,"active"
"17",2032,48,"M","Safety","2",16,2016,144619.687047292,FALSE,29068.5570965058,"active"
"18",2033,49,"M","Safety","2",17,2016,150042.925311566,FALSE,30158.6279876248,"active"
"19",2034,50,"M","Safety","2",18,2016,155669.53501075,FALSE,31289.5765371607,"active"
"20",2035,51,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"21",2036,52,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"22",2037,53,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"23",2038,54,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"24",2039,55,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"25",2040,56,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"26",2041,57,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"27",2042,58,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"28",2043,59,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"29",2044,60,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"30",2045,61,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"31",2046,62,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"32",2047,63,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"33",2048,64,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"34",2049,65,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"35",2050,66,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"36",2051,67,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"37",2052,68,"M","Safety","2",19,2016,0,FALSE,0,"disabled/accident"
"38",2053,69,"M","Safety","2",19,2016,0,FALSE,0,"deceased"
