"","year","age","sex","mortClass","tier","service","hireYear","salary","fromData","premium","status","pension"
"1",2000,36,"M","General",1,1,2000,39780.8834506072,FALSE,9010.37010156254,"active",0
"2",2001,37,"M","General",1,2,2000,76461.3316602682,FALSE,17318.4916210508,"active",0
"3",2002,38,"M","General",1,3,2000,80712.5817005792,FALSE,18281.3997551812,"active",0
"4",2003,39,"M","General",1,4,2000,85200.2012431314,FALSE,19297.8455815693,"active",0
"5",2004,40,"M","General",1,5,2000,89937.3324322495,FALSE,20370.8057959045,"active",0
"6",2005,41,"M","General",1,6,2000,93948.5374587278,FALSE,21279.3437344019,"active",0
"7",2006,42,"M","General",1,7,2000,98138.6422293871,FALSE,22228.4024649562,"active",0
"8",2007,43,"M","General",1,8,2000,102515.625672818,FALSE,23219.7892148932,"active",0
"9",2008,44,"M","General",1,9,2000,107087.822577825,FALSE,24255.3918138775,"active",0
"10",2009,45,"M","General",1,10,2000,111863.939464796,FALSE,25337.1822887764,"active",0
"11",2010,46,"M","General",1,11,2000,116047.65080078,FALSE,26284.7929063766,"active",0
"12",2011,47,"M","General",1,12,2000,120387.832940729,FALSE,27267.8441610751,"active",0
"13",2012,48,"M","General",1,13,2000,124890.337892712,FALSE,28287.6615326993,"active",0
"14",2013,49,"M","General",1,14,2000,129561.2365299,FALSE,29345.6200740223,"active",0
"15",2014,50,"M","General",1,15,2000,134406.826776118,FALSE,30443.1462647907,"active",0
"16",2015,51,"M","General",1,16,2000,139111.065713282,FALSE,31508.6563840584,"active",0
"17",2016,52,"M","General",1,17,2000,143979.953013247,FALSE,32611.4593575004,"active",0
"18",2017,53,"M","General",1,18,2000,149019.251368711,FALSE,33752.860435013,"active",0
"19",2018,54,"M","General",1,19,2000,154234.925166615,TRUE,34934.2105502384,"active",0
"20",2019,55,"M","General",1,20,2000,159633.147547447,FALSE,36156.9079194967,"active",0
"21",2020,56,"M","General",1,21,2000,165220.307711608,FALSE,37422.3996966791,"active",0
"22",2021,57,"M","General",1,22,2000,0,FALSE,0,"retired",81445.0246723639
"23",2022,58,"M","General",1,22,2000,0,FALSE,0,"retired",82870.3126041303
"24",2023,59,"M","General",1,22,2000,0,FALSE,0,"retired",84320.5430747026
"25",2024,60,"M","General",1,22,2000,0,FALSE,0,"retired",85796.1525785099
"26",2025,61,"M","General",1,22,2000,0,FALSE,0,"retired",87297.5852486338
"27",2026,62,"M","General",1,22,2000,0,FALSE,0,"retired",88825.2929904849
"28",2027,63,"M","General",1,22,2000,0,FALSE,0,"retired",90379.7356178184
"29",2028,64,"M","General",1,22,2000,0,FALSE,0,"retired",91961.3809911302
"30",2029,65,"M","General",1,22,2000,0,FALSE,0,"retired",93570.705158475
"31",2030,66,"M","General",1,22,2000,0,FALSE,0,"retired",95208.1924987483
"32",2031,67,"M","General",1,22,2000,0,FALSE,0,"retired",96874.3358674764
"33",2032,68,"M","General",1,22,2000,0,FALSE,0,"retired",98569.6367451573
"34",2033,69,"M","General",1,22,2000,0,FALSE,0,"retired",100294.605388198
"35",2034,70,"M","General",1,22,2000,0,FALSE,0,"retired",102049.760982491
"36",2035,71,"M","General",1,22,2000,0,FALSE,0,"retired",103835.631799685
"37",2036,72,"M","General",1,22,2000,0,FALSE,0,"retired",105652.755356179
"38",2037,73,"M","General",1,22,2000,0,FALSE,0,"retired",107501.678574912
"39",2038,74,"M","General",1,22,2000,0,FALSE,0,"retired",109382.957949973
"40",2039,75,"M","General",1,22,2000,0,FALSE,0,"retired",111297.159714098
"41",2040,76,"M","General",1,22,2000,0,FALSE,0,"retired",113244.860009094
"42",2041,77,"M","General",1,22,2000,0,FALSE,0,"retired",115226.645059254
"43",2042,78,"M","General",1,22,2000,0,FALSE,0,"retired",117243.111347791
"44",2043,79,"M","General",1,22,2000,0,FALSE,0,"retired",119294.865796377
"45",2044,80,"M","General",1,22,2000,0,FALSE,0,"retired",121382.525947813
"46",2045,81,"M","General",1,22,2000,0,FALSE,0,"retired",123506.7201519
"47",2046,82,"M","General",1,22,2000,0,FALSE,0,"retired",125668.087754558
"48",2047,83,"M","General",1,22,2000,0,FALSE,0,"retired",127867.279290263
"49",2048,84,"M","General",1,22,2000,0,FALSE,0,"retired",130104.956677843
"50",2049,85,"M","General",1,22,2000,0,FALSE,0,"retired",132381.793419705
"51",2050,86,"M","General",1,22,2000,0,FALSE,0,"retired",134698.47480455
"52",2051,87,"M","General",1,22,2000,0,FALSE,0,"deceased",0
